Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
741,Entry long,2025-12-17 15:15,Long,24955.5,1,499110,-260,-0.05,870,0.17,-1355,-0.27,-44300,-4.43
742,Exit short,2025-12-17 23:30,Long,24983.75,1,498850,-825,-0.17,805,0.16,-1395,-0.28,-45125,-4.51
742,Entry short,2025-12-17 19:00,Short,24942.5,1,498850,-825,-0.17,805,0.16,-1395,-0.28,-45125,-4.51
743,Exit long,2025-12-18 14:30,Short,25241.25,1,499675,5150,1.03,8575,1.72,-600,-0.12,-39975,-4.00
743,Entry long,2025-12-17 23:30,Long,24983.75,1,499675,5150,1.03,8575,1.72,-600,-0.12,-39975,-4.00
744,Exit short,2025-12-18 15:15,Long,25307.75,1,504825,-1330,-0.26,975,0.19,-1480,-0.29,-41305,-4.13
744,Entry short,2025-12-18 14:30,Short,25241.25,1,504825,-1330,-0.26,975,0.19,-1480,-0.29,-41305,-4.13
745,Exit long,2025-12-18 16:00,Short,25209.75,1,506155,-1960,-0.39,715,0.14,-2080,-0.41,-43265,-4.33
745,Entry long,2025-12-18 15:15,Long,25307.75,1,506155,-1960,-0.39,715,0.14,-2080,-0.41,-43265,-4.33
746,Exit short,2025-12-18 18:30,Long,25229.5,1,504195,-395,-0.08,265,0.05,-865,-0.17,-43660,-4.37
746,Entry short,2025-12-18 16:00,Short,25209.75,1,504195,-395,-0.08,265,0.05,-865,-0.17,-43660,-4.37
747,Exit long,2025-12-19 01:30,Short,25275.5,1,504590,920,0.18,1845,0.37,-365,-0.07,-42740,-4.27
747,Entry long,2025-12-18 18:30,Long,25229.5,1,504590,920,0.18,1845,0.37,-365,-0.07,-42740,-4.27
748,Exit short,2025-12-19 02:00,Long,25361.25,1,505510,-1715,-0.34,175,0.03,-1825,-0.36,-44455,-4.45
748,Entry short,2025-12-19 01:30,Short,25275.5,1,505510,-1715,-0.34,175,0.03,-1825,-0.36,-44455,-4.45
749,Exit long,2025-12-19 05:15,Short,25373.75,1,507225,250,0.05,645,0.13,-800,-0.16,-44205,-4.42
749,Entry long,2025-12-19 02:00,Long,25361.25,1,507225,250,0.05,645,0.13,-800,-0.16,-44205,-4.42
750,Exit short,2025-12-19 09:00,Long,25339.25,1,507475,690,0.14,2000,0.39,-175,-0.03,-43515,-4.35
750,Entry short,2025-12-19 05:15,Short,25373.75,1,507475,690,0.14,2000,0.39,-175,-0.03,-43515,-4.35
